"","Site","areas","ave_cf"
"1",1,200,26
"2",1,400,44.5
"3",1,600,54
"4",1,800,60
"5",1,1000,64
"6",1,1200,67.5
"7",1,1400,71
"8",1,1600,74.5
"9",1,1800,77.5
"10",1,2000,80
"11",1,2200,81.5
"12",1,2400,83.5
"13",1,2600,85.5
"14",1,2800,87.5
"15",1,3000,90
"16",1,3200,93.5
"17",2,200,20
"18",2,400,37.5
"19",2,600,51
"20",2,800,58
"21",2,1000,63
"22",2,1200,68
"23",2,1400,71
"24",2,1600,75
"25",2,1800,78
"26",2,2000,80.5
"27",2,2200,84
"28",2,2400,88
"29",2,2600,92.5
"30",2,2800,102
"31",2,3000,103.5
"32",2,3200,105
"33",3,200,13.5
"34",3,400,27
"35",3,600,38
"36",3,800,43
"37",3,1000,47
"38",3,1200,50
"39",3,1400,52.5
"40",3,1600,54
"41",3,1800,55.5
"42",3,2000,57
"43",3,2200,59
"44",3,2400,60.5
"45",3,2600,62
"46",3,2800,64
"47",3,3000,66
"48",3,3200,69
"49",4,200,17
"50",4,400,27
"51",4,600,34.5
"52",4,800,40.5
"53",4,1000,44
"54",4,1200,46.5
"55",4,1400,48.5
"56",4,1600,50
"57",4,1800,51.5
"58",4,2000,53
"59",4,2200,54
"60",4,2400,55
"61",4,2600,56.5
"62",4,2800,59.5
"63",4,3000,63
"64",4,3200,68
"65",5,200,31.5
"66",5,400,62
"67",5,600,76
"68",5,800,85
"69",5,1000,90
"70",5,1200,95
"71",5,1400,100
"72",5,1600,104.5
"73",5,1800,109
"74",5,2000,112.5
"75",5,2200,116.5
"76",5,2400,118.5
"77",5,2600,120
"78",5,2800,122.5
"79",5,3000,126
"80",5,3200,132.5
"81",6,200,32.5
"82",6,400,57
"83",6,600,66.5
"84",6,800,73
"85",6,1000,76.5
"86",6,1200,80.5
"87",6,1400,85
"88",6,1600,87
"89",6,1800,89
"90",6,2000,92
"91",6,2200,95
"92",6,2400,97.5
"93",6,2600,99.5
"94",6,2800,101.5
"95",6,3000,104.5
"96",6,3200,106.5
"97",7,200,16
"98",7,400,28
"99",7,600,34
"100",7,800,38.5
"101",7,1000,42
"102",7,1200,44.5
"103",7,1400,46
"104",7,1600,47
"105",7,1800,48.5
"106",7,2000,49.5
"107",7,2200,52
"108",7,2400,54
"109",7,2600,57.5
"110",7,2800,59.5
"111",7,3000,61
"112",7,3200,63
"113",8,200,37
"114",8,400,57
"115",8,600,69.5
"116",8,800,76.5
"117",8,1000,83.5
"118",8,1200,87.5
"119",8,1400,91
"120",8,1600,94
"121",8,1800,95.5
"122",8,2000,97.5
"123",8,2200,100
"124",8,2400,101
"125",8,2600,103.5
"126",8,2800,106.5
"127",8,3000,111.5
"128",8,3200,115
"129",9,200,17
"130",9,400,26.5
"131",9,600,32
"132",9,800,36.5
"133",9,1000,40
"134",9,1200,42
"135",9,1400,44
"136",9,1600,46.5
"137",9,1800,48
"138",9,2000,50
"139",9,2200,52.5
"140",9,2400,54
"141",9,2600,55.5
"142",9,2800,57
"143",9,3000,59
"144",9,3200,62
"145",10,200,17
"146",10,400,31
"147",10,600,40
"148",10,800,44.5
"149",10,1000,47.5
"150",10,1200,51
"151",10,1400,54
"152",10,1600,56.5
"153",10,1800,58.5
"154",10,2000,60
"155",10,2200,62
"156",10,2400,64.5
"157",10,2600,67
"158",10,2800,69.5
"159",10,3000,71
"160",10,3200,74.5
"161",11,200,19.5
"162",11,400,31
"163",11,600,37
"164",11,800,42
"165",11,1000,47
"166",11,1200,50
"167",11,1400,53
"168",11,1600,55
"169",11,1800,57
"170",11,2000,58.5
"171",11,2200,60
"172",11,2400,62
"173",11,2600,64
"174",11,2800,65.5
"175",11,3000,67.5
"176",11,3200,70.5
"177",12,200,23
"178",12,400,38.5
"179",12,600,47
"180",12,800,54
"181",12,1000,57.5
"182",12,1200,61.5
"183",12,1400,64.5
"184",12,1600,67
"185",12,1800,69.5
"186",12,2000,70.5
"187",12,2200,72.5
"188",12,2400,75
"189",12,2600,77
"190",12,2800,79.5
"191",12,3000,82.5
"192",12,3200,84.5
"193",13,200,22
"194",13,400,43.5
"195",13,600,54
"196",13,800,61
"197",13,1000,66.5
"198",13,1200,71.5
"199",13,1400,75
"200",13,1600,77.5
"201",13,1800,80.5
"202",13,2000,83
"203",13,2200,85.5
"204",13,2400,87.5
"205",13,2600,90.5
"206",13,2800,95
"207",13,3000,103.5
"208",13,3200,106
"209",14,200,18.5
"210",14,400,35.5
"211",14,600,42
"212",14,800,46
"213",14,1000,47
"214",14,1200,48
"215",14,1400,49.5
"216",14,1600,50.5
"217",14,1800,51.5
"218",14,2000,53
"219",14,2200,54
"220",14,2400,55.5
"221",14,2600,58.5
"222",14,2800,62
"223",14,3000,64.5
"224",14,3200,67
"225",15,200,16.5
"226",15,400,29
"227",15,600,32.5
"228",15,800,34.5
"229",15,1000,37
"230",15,1200,38
"231",15,1400,39.5
"232",15,1600,40.5
"233",15,1800,41.5
"234",15,2000,43.5
"235",15,2200,45.5
"236",15,2400,46.8
"237",15,2600,48.1
"238",15,2800,49.4
"239",15,3000,50.7
"240",15,3200,52
"241",16,200,25
"242",16,400,42.5
"243",16,600,50.5
"244",16,800,56.5
"245",16,1000,61
"246",16,1200,64.5
"247",16,1400,67.5
"248",16,1600,70.5
"249",16,1800,72.5
"250",16,2000,74.5
"251",16,2200,77
"252",16,2400,79
"253",16,2600,81
"254",16,2800,83.5
"255",16,3000,85.5
"256",16,3200,87.5
"257",17,200,19
"258",17,400,34.5
"259",17,600,39.5
"260",17,800,44.5
"261",17,1000,49
"262",17,1200,51.5
"263",17,1400,53
"264",17,1600,54.5
"265",17,1800,56
"266",17,2000,57.5
"267",17,2200,59
"268",17,2400,60.5
"269",17,2600,63.5
"270",17,2800,66.5
"271",17,3000,68.25
"272",17,3200,70
"273",18,200,22.5
"274",18,400,42
"275",18,600,50
"276",18,800,57
"277",18,1000,62
"278",18,1200,66
"279",18,1400,68.5
"280",18,1600,71
"281",18,1800,73
"282",18,2000,75
"283",18,2200,78
"284",18,2400,81.5
"285",18,2600,84
"286",18,2800,87
"287",18,3000,91.5
"288",18,3200,96
"289",19,200,17
"290",19,400,31
"291",19,600,37.5
"292",19,800,42
"293",19,1000,45
"294",19,1200,47.5
"295",19,1400,49.5
"296",19,1600,52
"297",19,1800,53.5
"298",19,2000,55
"299",19,2200,56.5
"300",19,2400,58
"301",19,2600,59
"302",19,2800,60.5
"303",19,3000,62.5
"304",19,3200,65
"305",20,200,24.5
"306",20,400,46
"307",20,600,57
"308",20,800,64.5
"309",20,1000,69.5
"310",20,1200,73
"311",20,1400,76.5
"312",20,1600,79.5
"313",20,1800,83
"314",20,2000,85
"315",20,2200,88.5
"316",20,2400,92
"317",20,2600,95
"318",20,2800,97.5
"319",20,3000,100
"320",20,3200,103
"321",21,200,17.5
"322",21,400,29
"323",21,600,35
"324",21,800,39.5
"325",21,1000,42.5
"326",21,1200,45
"327",21,1400,47
"328",21,1600,48.5
"329",21,1800,50.5
"330",21,2000,52
"331",21,2200,53.5
"332",21,2400,55
"333",21,2600,56.5
"334",21,2800,59.5
"335",21,3000,61.5
"336",21,3200,65
"337",22,200,18
"338",22,400,31
"339",22,600,38.5
"340",22,800,44
"341",22,1000,47.5
"342",22,1200,50
"343",22,1400,52.5
"344",22,1600,54.5
"345",22,1800,56
"346",22,2000,58
"347",22,2200,59.5
"348",22,2400,61.5
"349",22,2600,63
"350",22,2800,65.5
"351",22,3000,68.5
"352",22,3200,72.5
"353",23,200,37.5
"354",23,400,60
"355",23,600,69
"356",23,800,74.5
"357",23,1000,78
"358",23,1200,81.5
"359",23,1400,84
"360",23,1600,85.5
"361",23,1800,88
"362",23,2000,90
"363",23,2200,92
"364",23,2400,93.5
"365",23,2600,95.5
"366",23,2800,98
"367",23,3000,101
"368",23,3200,106.5
"369",24,200,17
"370",24,400,32.5
"371",24,600,39.5
"372",24,800,43.5
"373",24,1000,46
"374",24,1200,48.5
"375",24,1400,50.5
"376",24,1600,52.5
"377",24,1800,54
"378",24,2000,56
"379",24,2200,57
"380",24,2400,59
"381",24,2600,61
"382",24,2800,63
"383",24,3000,66.5
"384",24,3200,69
"385",25,200,23.5
"386",25,400,37.5
"387",25,600,43.5
"388",25,800,48
"389",25,1000,50.5
"390",25,1200,53
"391",25,1400,54
"392",25,1600,55
"393",25,1800,56.5
"394",25,2000,58
"395",25,2200,59.5
"396",25,2400,61
"397",25,2600,63
"398",25,2800,65
"399",25,3000,67
"400",25,3200,70.5
"401",26,200,18.5
"402",26,400,33
"403",26,600,43.5
"404",26,800,49.5
"405",26,1000,53.5
"406",26,1200,57
"407",26,1400,60.5
"408",26,1600,63
"409",26,1800,65.5
"410",26,2000,67
"411",26,2200,69
"412",26,2400,70.5
"413",26,2600,72.5
"414",26,2800,74.5
"415",26,3000,77
"416",26,3200,82
"417",27,200,12.5
"418",27,400,22
"419",27,600,25.5
"420",27,800,28.5
"421",27,1000,31
"422",27,1200,32
"423",27,1400,33
"424",27,1600,34
"425",27,1800,35
"426",27,2000,36
"427",27,2200,37
"428",27,2400,38
"429",27,2600,40.5
"430",27,2800,42.6666666666667
"431",27,3000,44.8333333333333
"432",27,3200,47
"433",28,200,15
"434",28,400,24.5
"435",28,600,27.5
"436",28,800,30.5
"437",28,1000,32.5
"438",28,1200,35
"439",28,1400,36.5
"440",28,1600,38
"441",28,1800,39.5
"442",28,2000,41
"443",28,2200,42
"444",28,2400,43
"445",28,2600,44.5
"446",28,2800,45.5
"447",28,3000,47.5
"448",28,3200,50
"449",29,200,17.5
"450",29,400,31
"451",29,600,38.5
"452",29,800,44
"453",29,1000,49
"454",29,1200,53.5
"455",29,1400,56
"456",29,1600,59.5
"457",29,1800,62.5
"458",29,2000,65
"459",29,2200,68
"460",29,2400,70
"461",29,2600,72
"462",29,2800,74.5
"463",29,3000,77
"464",29,3200,79
"465",30,200,15.5
"466",30,400,27
"467",30,600,34.5
"468",30,800,39.5
"469",30,1000,44
"470",30,1200,47.5
"471",30,1400,49.5
"472",30,1600,51.5
"473",30,1800,53.5
"474",30,2000,56
"475",30,2200,57.5
"476",30,2400,60
"477",30,2600,62
"478",30,2800,63
"479",30,3000,65.5
"480",30,3200,68.5
"481",31,200,27.5
"482",31,400,48
"483",31,600,58
"484",31,800,63
"485",31,1000,65.5
"486",31,1200,68
"487",31,1400,70.5
"488",31,1600,72.5
"489",31,1800,74.5
"490",31,2000,76.5
"491",31,2200,78.5
"492",31,2400,82
"493",31,2600,85
"494",31,2800,86.5
"495",31,3000,90
"496",31,3200,91
"497",32,200,14.5
"498",32,400,27
"499",32,600,33
"500",32,800,36
"501",32,1000,38.5
"502",32,1200,40
"503",32,1400,41.5
"504",32,1600,42.5
"505",32,1800,44
"506",32,2000,45.5
"507",32,2200,47.5
"508",32,2400,49.5
"509",32,2600,51.5
"510",32,2800,53.5
"511",32,3000,56.5
"512",32,3200,59
"513",33,200,16
"514",33,400,24
"515",33,600,26.5
"516",33,800,29
"517",33,1000,31
"518",33,1200,33
"519",33,1400,35
"520",33,1600,36.5
"521",33,1800,37.5
"522",33,2000,38.5
"523",33,2200,39.5
"524",33,2400,40.5
"525",33,2600,42
"526",33,2800,43.5
"527",33,3000,45
"528",33,3200,46.5
"529",34,200,20
"530",34,400,31
"531",34,600,35.5
"532",34,800,38.5
"533",34,1000,40.5
"534",34,1200,42.5
"535",34,1400,44
"536",34,1600,45.5
"537",34,1800,47
"538",34,2000,48
"539",34,2200,49.5
"540",34,2400,51
"541",34,2600,53
"542",34,2800,55
"543",34,3000,56.5
"544",34,3200,58.5
"545",35,200,15
"546",35,400,28
"547",35,600,38
"548",35,800,44
"549",35,1000,47
"550",35,1200,50.5
"551",35,1400,53.5
"552",35,1600,56.5
"553",35,1800,59
"554",35,2000,61.5
"555",35,2200,63
"556",35,2400,64
"557",35,2600,65.5
"558",35,2800,67.5
"559",35,3000,70
"560",35,3200,72
"561",36,200,19.5
"562",36,400,34.5
"563",36,600,45.5
"564",36,800,52.5
"565",36,1000,57.5
"566",36,1200,61
"567",36,1400,63
"568",36,1600,65
"569",36,1800,66.5
"570",36,2000,68
"571",36,2200,70
"572",36,2400,72
"573",36,2600,73
"574",36,2800,75
"575",36,3000,77
"576",36,3200,81
"577",37,200,14
"578",37,400,27
"579",37,600,34.5
"580",37,800,39
"581",37,1000,41.5
"582",37,1200,44.5
"583",37,1400,46.5
"584",37,1600,48.5
"585",37,1800,51
"586",37,2000,53.5
"587",37,2200,55.5
"588",37,2400,58
"589",37,2600,60
"590",37,2800,62
"591",37,3000,63
"592",37,3200,65
"593",38,200,26
"594",38,400,43
"595",38,600,52.5
"596",38,800,60
"597",38,1000,66
"598",38,1200,71.5
"599",38,1400,76.5
"600",38,1600,80.5
"601",38,1800,84.5
"602",38,2000,87.5
"603",38,2200,90
"604",38,2400,93
"605",38,2600,96.5
"606",38,2800,99.5
"607",38,3000,102
"608",38,3200,103
"609",39,200,30.5
"610",39,400,57
"611",39,600,67
"612",39,800,73.5
"613",39,1000,78
"614",39,1200,81.5
"615",39,1400,84
"616",39,1600,86.5
"617",39,1800,89.5
"618",39,2000,91
"619",39,2200,93.5
"620",39,2400,95.5
"621",39,2600,98
"622",39,2800,100
"623",39,3000,104.5
"624",39,3200,108.5
"625",40,200,35.5
"626",40,400,61.5
"627",40,600,77
"628",40,800,87
"629",40,1000,93.5
"630",40,1200,98
"631",40,1400,103.5
"632",40,1600,108
"633",40,1800,112.5
"634",40,2000,115.5
"635",40,2200,118.5
"636",40,2400,122
"637",40,2600,125.5
"638",40,2800,128.5
"639",40,3000,131.5
"640",40,3200,137
"641",41,200,24
"642",41,400,38
"643",41,600,46
"644",41,800,52.5
"645",41,1000,57
"646",41,1200,61
"647",41,1400,64.5
"648",41,1600,67.5
"649",41,1800,69.5
"650",41,2000,70.5
"651",41,2200,72.5
"652",41,2400,74
"653",41,2600,75.5
"654",41,2800,77.5
"655",41,3000,80
"656",41,3200,83.5
"657",42,200,21.5
"658",42,400,39
"659",42,600,52.5
"660",42,800,60
"661",42,1000,65
"662",42,1200,68
"663",42,1400,70
"664",42,1600,72
"665",42,1800,73.5
"666",42,2000,75
"667",42,2200,77.5
"668",42,2400,80.5
"669",42,2600,84
"670",42,2800,87.5
"671",42,3000,91
"672",42,3200,95
"673",43,200,23
"674",43,400,41
"675",43,600,50
"676",43,800,58.5
"677",43,1000,65
"678",43,1200,70.5
"679",43,1400,75
"680",43,1600,79.5
"681",43,1800,83.5
"682",43,2000,87
"683",43,2200,90.5
"684",43,2400,94
"685",43,2600,96.5
"686",43,2800,99
"687",43,3000,102.5
"688",43,3200,107
"689",44,200,16.5
"690",44,400,33
"691",44,600,44
"692",44,800,52
"693",44,1000,59
"694",44,1200,66
"695",44,1400,71
"696",44,1600,75
"697",44,1800,78
"698",44,2000,81.5
"699",44,2200,85
"700",44,2400,88
"701",44,2600,91
"702",44,2800,93.5
"703",44,3000,96.5
"704",44,3200,99.5
"705",45,200,16.5
"706",45,400,31
"707",45,600,41.5
"708",45,800,46
"709",45,1000,49.5
"710",45,1200,53
"711",45,1400,56.5
"712",45,1600,59
"713",45,1800,61.5
"714",45,2000,64
"715",45,2200,65.5
"716",45,2400,67.5
"717",45,2600,70
"718",45,2800,72.5
"719",45,3000,75
"720",45,3200,77.5
"721",46,200,18.5
"722",46,400,34.5
"723",46,600,44.5
"724",46,800,50.5
"725",46,1000,55.5
"726",46,1200,59
"727",46,1400,64
"728",46,1600,68
"729",46,1800,70.5
"730",46,2000,73
"731",46,2200,75
"732",46,2400,77.5
"733",46,2600,80.5
"734",46,2800,83.5
"735",46,3000,90.5
"736",46,3200,93
"737",47,200,33
"738",47,400,59
"739",47,600,76.5
"740",47,800,89
"741",47,1000,96.5
"742",47,1200,104.5
"743",47,1400,111
"744",47,1600,116.5
"745",47,1800,120.5
"746",47,2000,123.5
"747",47,2200,127
"748",47,2400,129.5
"749",47,2600,132.5
"750",47,2800,137.5
"751",47,3000,140.5
"752",47,3200,145.5
"753",48,200,20
"754",48,400,36
"755",48,600,45.5
"756",48,800,50
"757",48,1000,53
"758",48,1200,56.5
"759",48,1400,59.5
"760",48,1600,62
"761",48,1800,64
"762",48,2000,65
"763",48,2200,66.5
"764",48,2400,69
"765",48,2600,71.5
"766",48,2800,74
"767",48,3000,75.5
"768",48,3200,77
"769",49,200,13.5
"770",49,400,20.5
"771",49,600,25
"772",49,800,27.5
"773",49,1000,30.5
"774",49,1200,33
"775",49,1400,35
"776",49,1600,36
"777",49,1800,37
"778",49,2000,38.5
"779",49,2200,39.5
"780",49,2400,40.5
"781",49,2600,42
"782",49,2800,43.5
"783",49,3000,45.5
"784",49,3200,48
"785",50,200,27.5
"786",50,400,49
"787",50,600,61.5
"788",50,800,67.5
"789",50,1000,72.5
"790",50,1200,78
"791",50,1400,83
"792",50,1600,87.5
"793",50,1800,91
"794",50,2000,94
"795",50,2200,98
"796",50,2400,102
"797",50,2600,106.5
"798",50,2800,110.5
"799",50,3000,117.5
"800",50,3200,120
"801",51,200,14.5
"802",51,400,20.5
"803",51,600,23
"804",51,800,25
"805",51,1000,26.5
"806",51,1200,27.5
"807",51,1400,28.5
"808",51,1600,29.5
"809",51,1800,30.5
"810",51,2000,31.5
"811",51,2200,32.5
"812",51,2400,33.5
"813",51,2600,34.5
"814",51,2800,35.5
"815",51,3000,36.5
"816",51,3200,41
"817",52,200,17.5
"818",52,400,30
"819",52,600,35
"820",52,800,37
"821",52,1000,38
"822",52,1200,39.5
"823",52,1400,40.5
"824",52,1600,41.5
"825",52,1800,42.5
"826",52,2000,43.5
"827",52,2200,44.5
"828",52,2400,46
"829",52,2600,47
"830",52,2800,48.5
"831",52,3000,50.5
"832",52,3200,54
"833",53,200,27
"834",53,400,43
"835",53,600,53.5
"836",53,800,58.5
"837",53,1000,62.5
"838",53,1200,65.5
"839",53,1400,69
"840",53,1600,71.5
"841",53,1800,74
"842",53,2000,75.5
"843",53,2200,77
"844",53,2400,78.5
"845",53,2600,81.5
"846",53,2800,85
"847",53,3000,87.5
"848",53,3200,91
"849",54,200,13
"850",54,400,23
"851",54,600,29.5
"852",54,800,34
